date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:56	32812/32812	---M-Z	200	added ('OK')	text/html	etag:%221a06de-802c-5531a643de744%22	https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html	(from )
11:46:57	170/170	---M-Z	200	added ('OK')	text/plain	etag:%221801bf-150-550fd745c3ee6%22	https://www.alabamapower.com/robots.txt		(from )
11:46:57	2276/2276	---M--	200	added ('OK')	image/png	etag:%22180091-8e4-550fd6dd96c9d%22	https://www.alabamapower.com/etc/designs/alabama/clientlibs/alabama-general-clientlibs/img/favicon.png	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/etc/designs/alabama/clientlibs/alabama-general-clientlibs/img/favicon.png	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:46:57	19653/19653	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2003%20Jul%202017%2015:46:57%20GMT	https://use.typekit.net/snp1xqv.js	C:/Users/nisha.damico/Documents/Southern%20Compay/use.typekit.net/snp1xqv.js	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:46:59	147312/147312	---M-Z	200	added ('OK')	application/x-javascript	etag:%22159055181ec18c03ce0ad299b41fb4b1:1492014930%22	http://assets.adobedtm.com/b529c88e7e7aec8dcab31cf2026351aad2e6ab08/satelliteLib-963d39b3972140ae2d26592f0826c21fb7bbf9d9.js	C:/Users/nisha.damico/Documents/Southern%20Compay/assets.adobedtm.com/b529c88e7e7aec8dcab31cf2026351aad2e6ab08/satelliteLib-963d39b3972140ae2d26592f0826c21fb7bbf9d9.js	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:46:59	214638/214638	---M-Z	200	added ('OK')	text/css	etag:%221800a1-3466e-550fd6e21db61%22	https://www.alabamapower.com/etc/designs/alabama/clientlibs/alabama-general-clientlibs.css	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/etc/designs/alabama/clientlibs/alabama-general-clientlibs.css	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:46:59	3221/3221	---M--	200	added ('OK')	image/png	etag:%221800a3-c95-551c9f4dcde86%22	https://www.alabamapower.com/content/apc/alabama/_jcr_content/iheader/apcheader/logoimage.img.full.high.png/1485443436511.png	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/content/apc/alabama/_jcr_content/iheader/apcheader/logoimage.img.full.high.png/1485443436511.png	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:46:59	1750/1750	---M--	200	added ('OK')	image/png	etag:%2218000a-6d6-550fd6d7ced2f%22	https://www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-facebook.png	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-facebook.png	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:47:00	1851/1851	---M--	200	added ('OK')	image/png	etag:%2218000e-73b-550fd6d7e0e3e%22	https://www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-twitter.png	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-twitter.png	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
11:47:00	1888/1888	---M--	200	added ('OK')	image/png	etag:%22180017-760-550fd6d7f759d%22	https://www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-youtube.png	C:/Users/nisha.damico/Documents/Southern%20Compay/www.alabamapower.com/content/dam/alabamapower/Social%20Icons/icon-youtube.png	(from https://www.alabamapower.com/residential/ways-to-save/energy-saving-products/economical-heat-pumps.html)
